osm_key,osm_type,osm_id,name,latitude,longitude,stop_type,operator,network,tags_json
node/1437133440,node,1437133440,Doles iela,56.9158038,24.1322575,platform,,,"{""bench"": ""no"", ""bin"": ""yes"", ""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""Doles iela"", ""public_transport"": ""platform"", ""railway"": ""platform"", ""shelter"": ""no"", ""surface"": ""asphalt"", ""tram"": ""yes""}"
node/1437133444,node,1437133444,Doles iela,56.9158224,24.1323329,tram_stop,,,"{""name"": ""Doles iela"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""tram"": ""yes""}"
node/1437133455,node,1437133455,Doles iela,56.9159646,24.1344368,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""Doles iela"", ""public_transport"": ""platform"", ""shelter"": ""no"", ""tactile_paving"": ""no"", ""tram"": ""no""}"
node/1437133458,node,1437133458,Meža iela,56.8814782,24.1402834,bus_stop,,,"{""bench"": ""no"", ""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""Meža iela"", ""public_transport"": ""platform"", ""shelter"": ""no""}"
node/1437133462,node,1437133462,Meža iela,56.881449,24.1396308,bus_stop,,,"{""bench"": ""no"", ""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""Meža iela"", ""public_transport"": ""platform"", ""shelter"": ""no""}"
node/1437133475,node,1437133475,Koku iela,56.9221308,24.0956041,bus_stop,,,"{""bench"": ""no"", ""bin"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""Koku iela"", ""public_transport"": ""platform"", ""shelter"": ""no""}"
node/1437133478,node,1437133478,Koku iela,56.922378,24.0955669,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""Koku iela"", ""public_transport"": ""platform"", ""shelter"": ""no""}"
node/1437133489,node,1437133489,Skaistkalnes iela,56.9178983,24.103833,bus_stop,,,"{""bench"": ""yes"", ""departures_board"": ""timetable"", ""highway"": ""bus_stop"", ""name"": ""Skaistkalnes iela"", ""public_transport"": ""platform"", ""shelter"": ""no""}"
node/1437133493,node,1437133493,Mazā Stērstu iela,56.9137924,24.1184197,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""check_date:shelter"": ""2024-10-12"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Mazā Stērstu iela"", ""public_transport"": ""platform"", ""shelter"": ""no"", ""tactile_paving"": ""yes""}"
node/1437133497,node,1437133497,Titurga,56.8834931,24.1468325,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""Titurga"", ""public_transport"": ""platform"", ""shelter"": ""yes""}"
