place_id,name,category,google_types,business_status,formatted_address,vicinity,latitude,longitude,plus_code_global,plus_code_compound,rating,user_ratings_total,website,formatted_phone_number,international_phone_number,google_maps_url,wheelchair_accessible,editorial_summary,icon_url,opening_hours_available,collected_at
ChIJsQQfzVfM7kYRpo7NFx1S8Rg,"Papīrfabrika ""Jugla""",transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Vidzeme Suburb, Riga, Riga, LV-1079, Latvia","Vidzeme Suburb, Riga, Riga",56.96082,24.30218,9G86X862+8V,"X862+8V Riga, Rīgas pilsēta, Riga, Latvia",5.0,2.0,,,,https://maps.google.com/?cid=1797308011204415142,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:33.227925
ChIJT-_AsiUz6UYRuBHDusr--1g,Dāvidi,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Ropaži parish, Ropaži Municipality, LV-2133, Latvia",Latvia,56.94072,24.3947284,9G86W9RV+7V,"W9RV+7V Ūlupji, Ropažu pagasts, Ropažu novads, Latvia",,,,,,https://maps.google.com/?cid=6411998641162228152,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:33.388801
ChIJZWYosrrM7kYRMMZir4sMnjw,Sunīši,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Sunīši, Garkalnes pagasts, Ropaži Municipality, LV-2137, Latvia",Sunīši,56.97193,24.37665,9G86X9CG+QM,"X9CG+QM Sunīši, Garkalnes pagasts, Ropaži Municipality, Latvia",5.0,2.0,,,,https://maps.google.com/?cid=4367942482678433328,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:33.565331
ChIJG5rSb1bM7kYRYH7Udw_NdP4,Nautrēnu iela,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Riga, LV-1079, Latvia",Riga,56.95925,24.29861,9G86X75X+MC,"X75X+MC Riga, Rīgas pilsēta, Riga, Latvia",,,,,,https://maps.google.com/?cid=18335505449250750048,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:33.726436
ChIJ4R1DeVbM7kYRHMBq1o7X8qw,Nautrēnu iela,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Vidzeme Suburb, Riga, Riga, LV-1079, Latvia","Vidzeme Suburb, Riga, Riga",56.959,24.29753,9G86X75X+J2,"X75X+J2 Riga, Rīgas pilsēta, Riga, Latvia",3.0,2.0,,,,https://maps.google.com/?cid=12462260127370231836,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:33.904993
ChIJeX34wIXM7kYRuDyPgwA64M4,Upesciems,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Upesciems, Garkalnes pagasts, Ropaži Municipality, LV-2137, Latvia",Upesciems,56.982035,24.33773,9G86X8JQ+R3,"X8JQ+R3 Upesciems, Garkalnes pagasts, Ropaži Municipality, Latvia",,,,,,https://maps.google.com/?cid=14906978540477955256,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:34.068895
ChIJRRbEvgjN7kYRqvFEs9wIg0I,Ulbrokas ciems,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Ulbroka, Stopiņu pagasts, Ropaži Municipality, LV-2130, Latvia",Ulbroka,56.9405497,24.2922496,9G86W7RR+6V,"W7RR+6V Ulbroka, Stopiņu pagasts, Ropaži Municipality, Latvia",,,,,,https://maps.google.com/?cid=4792684172445807018,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:34.215117
ChIJVR1CyAjN7kYRTtjuO_7El-Q,Ulbroka,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Ulbroka, Stopiņu pagasts, Ropaži Municipality, LV-2130, Latvia",Ulbroka,56.9402,24.29237,9G86W7RR+3W,"W7RR+3W Ulbroka, Stopiņu pagasts, Ropaži Municipality, Latvia",4.5,2.0,,,,https://maps.google.com/?cid=16471850758337124430,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:34.374518
ChIJ2xynuAjN7kYRPH2iupY2lh8,Ulbrokas ciems,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Ulbroka, Stopiņu pagasts, Ropaži Municipality, LV-2130, Latvia",Ulbroka,56.9403099,24.2922357,9G86W7RR+4V,"W7RR+4V Ulbroka, Stopiņu pagasts, Ropaži Municipality, Latvia",4.0,1.0,,,,https://maps.google.com/?cid=2276066682686569788,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:34.547283
ChIJ6ymbJiMz6UYR15SGXpH3Qv4,Zaķu pagrieziens,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Ropaži parish, Ropaži Municipality, LV-2133, Latvia",Latvia,56.9413558,24.4054703,9G86WCR4+G5,"WCR4+G5 Silakrogs, Ropaži parish, Ropaži Municipality, Latvia",,,,,,https://maps.google.com/?cid=18321478437824795863,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:34.704108
